,Ticker,% Held by Insiders,% Held by Institutions,200-Day Moving Average,5 Year Average Dividend Yield,50-Day Moving Average,52 Week High,52 Week Low,52-Week Change,Avg Vol (10 day),Avg Vol (3 month),Beta (3Y Monthly),Book Value Per Share (mrq),Current Ratio (mrq),Diluted EPS (ttm),Dividend Date,EBITDA,Enterprise Value,Enterprise Value/EBITDA,Enterprise Value/Revenue,Ex-Dividend Date,Fiscal Year Ends,Float,Forward Annual Dividend Rate,Forward Annual Dividend Yield,Forward P/E,Gross Profit (ttm),Last Split Date,Last Split Factor (new per old),Levered Free Cash Flow (ttm),Market Cap (intraday),Most Recent Quarter (mrq),Net Income Avi to Common (ttm),Operating Cash Flow (ttm),Operating Margin (ttm),PEG Ratio (5 yr expected),Payout Ratio,Price/Book (mrq),Price/Sales (ttm),Profit Margin,Quarterly Earnings Growth (yoy),Quarterly Revenue Growth (yoy),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),S&P500 52-Week Change,Shares Outstanding,Shares Short,"Shares Short (Aug 31, 2018)","Shares Short (Nov 15, 2019)",Shares Short (prior month ),"Shares Short (prior month Jul 31, 2018)","Shares Short (prior month Oct 15, 2019)",Short % of Float,"Short % of Float (Aug 31, 2018)","Short % of Float (Nov 15, 2019)",Short % of Shares Outstanding,"Short % of Shares Outstanding (Aug 31, 2018)","Short % of Shares Outstanding (Nov 15, 2019)",Short Ratio,"Short Ratio (Aug 31, 2018)","Short Ratio (Nov 15, 2019)",Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Trailing Annual Dividend Rate,Trailing Annual Dividend Yield,Trailing P/E,Symbol,Name,Sector
122,ADSK,0.0017000000000000001,0.9868000000000001,156.83,,154.63,181.36,117.72,0.22210000000000002,2360000.0,1620000.0,1.84,-0.78,0.6,0.67,,382900000.0,40760000000.0,106.46,13.1,1.1114496e+18,1.5488928e+18,219360000.0,,,39.74,2300000000.0,1.1035872e+18,1/2,711680000.0,38570000000.0,1.57248e+18,147400000.0,1030000000.0,0.09390000000000001,0.8,0.0,,12.39,0.047400000000000005,,0.275,0.0415,,3110000000.0,14.17,0.12560000000000002,219590000.0,,,6250000.0,,,6910000.0,,,0.0318,,,0.0285,,,4.82,1020000000.0,4.66,2040000000.0,,,,263.31,ADSK,Autodesk Inc,Information Technology
123,ADP,0.0017000000000000001,0.8175,164.48,2.11,165.24,174.5,121.4,0.1585,1270000.0,1930000.0,0.88,12.37,1.01,5.43,1.5778368e+18,3570000000.0,75380000000.0,21.13,5.25,1.5761088e+18,1.5618528e+18,431850000.0,3.64,0.0213,24.33,6390000000.0,1.4121216e+18,1000/1139,2089999999.9999998,72950000000.0,1.5698016e+18,2370000000.0,2970000000.0,0.2187,1.86,0.5820000000000001,13.63,5.08,0.165,0.152,0.055999999999999994,0.052199999999999996,0.4721,14360000000.0,33.09,0.12560000000000002,432700000.0,,,4340000.0,,,3100000.0,,,0.01,,,0.01,,,2.09,4950000000.0,11.44,6430000000.0,119.92,3.16,0.018500000000000003,31.04,ADP,Automatic Data Processing,Information Technology
124,AVGO,0.0259,0.8835,285.55,1.89,302.58,325.67,217.61,0.3063,1860000.0,2140000.0,0.9,54.03,1.32,7.11,1.569888e+18,10270000000.0,157530000000.0,15.35,7.07,1.5689376e+18,1.5412896e+18,388940000.0,10.6,0.0335,13.38,13830000000.0,,,10960000000.0,123250000000.0,1.5648768e+18,3000000000.0,9850000000.0,0.222,0.88,1.3472,5.75,5.54,0.1344,-0.402,0.08900000000000001,0.0514,0.1227,22260000000.0,55.35,0.12560000000000002,396670000.0,,,6300000.0,,,5790000.0,,,0.0223,,,0.0159,,,3.3,5460000000.0,13.77,37570000000.0,174.7,10.6,0.0335,43.73,AVGO,Broadcom,Information Technology
125,CDNS,0.0163,0.9029,68.42,,66.89,77.08,40.31,0.5199,1680000.0,1600000.0,1.15,5.28,1.7,1.52,,630220000.0,19520000000.0,30.97,8.46,,1.5460416e+18,276100000.0,,,28.84,1880000000.0,8.797248e+17,1/2,536429999.99999994,18930000000.0,1.5696288e+18,427730000.0,702190000.0,0.2207,2.94,0.0,12.79,8.21,0.18539999999999998,0.022000000000000002,0.08900000000000001,0.12890000000000001,0.3125,2310000000.0,8.44,0.12560000000000002,280590000.0,,,5670000.0,,,4950000.0,,,0.0232,,,0.0202,,,3.76,655220000.0,2.34,464060000.0,31.35,,,44.39,CDNS,Cadence Design Systems,Information Technology
126,CSCO,0.0007000000000000001,0.7733,51.1,2.93,46.68,58.26,40.25,-0.0704,18500000.0,19210000.0,1.26,8.12,1.7,2.51,1.5717888e+18,16210000000.0,183820000000.0,11.34,3.54,1.5700608e+18,1.5641856e+18,4240000000.0,1.4,0.0309,13.15,32670000000.0,9.537696e+17,1/2,11440000000.0,189630000000.0,1.572048e+18,11000000000.0,15660000000.0,0.2777,2.0,0.5476,5.51,3.65,0.2115,-0.17600000000000002,0.006999999999999999,0.09119999999999999,0.281,51990000000.0,11.98,0.12560000000000002,4240000000.0,,,37800000.0,,,33930000.0,,,0.0089,,,0.0089,,,1.95,28040000000.0,6.61,19640000000.0,57.07,1.38,0.0305,17.79,CSCO,Cisco Systems,Information Technology
127,CTXS,0.0097,1.0318,99.06,,108.61,114.73,90.28,0.022799999999999997,2610000.0,1730000.0,0.98,5.49,0.74,4.62,1.5768e+18,748560000.0,15150000000.0,20.24,5.05,1.575504e+18,1.5462144e+18,129610000.00000001,1.4,0.0123,20.61,2590000000.0,1.4859072e+18,10000/12558,726830000.0,14570000000.0,1.5698016e+18,640420000.0,783430000.0,0.1908,3.71,0.303,20.39,4.85,0.2133,0.705,0.001,0.0756,0.8736,3000000000.0,22.79,0.12560000000000002,130220000.0,,,4770000.0,,,6750000.0,,,0.0409,,,0.0366,,,2.75,549210000.0,4.22,1010000000.0,141.82,1.4,0.0124,24.21,CTXS,Citrix Systems,Information Technology
128,CTSH,0.0023,0.9270999999999999,62.48,,62.06,74.85,56.73,-0.10869999999999999,2300000.0,2860000.0,1.05,19.46,2.53,3.7,1.5749856e+18,3170000000.0,33729999999.999996,10.64,2.03,1.5740352e+18,1.5462144e+18,545370000.0,0.8,0.0125,15.31,6290000000.0,1.3944096e+18,1/2,1750000000.0,34790000000.0,1.5698016e+18,2100000000.0,2260000000.0,0.15990000000000001,2.88,0.2168,3.27,2.09,0.126,0.042,0.042,0.1068,0.1933,16629999999.999998,29.36,0.12560000000000002,547570000.0,,,9570000.0,,,9700000.0,,,0.0169,,,0.0175,,,3.4,3080000000.0,5.62,1700000000.0,15.89,0.8,0.0125,17.18,CTSH,Cognizant Technology Solutions,Information Technology
129,GLW,0.0028000000000000004,0.7362000000000001,29.95,2.25,29.59,35.34,26.75,-0.1303,3380000.0,5160000.0,1.16,13.98,1.71,1.35,1.5761952e+18,2900000000.0,30800000000.0,10.62,2.63,1.5736896e+18,1.5462144e+18,766480000.0,0.8,0.0275,15.54,4460000000.0,9.706176e+17,1/3,-46620000.0,22110000000.0,1.5698016e+18,1120000000.0,1950000000.0,0.1245,2.51,0.5821000000000001,2.06,1.89,0.1041,-0.461,-0.025,0.034,0.09,11720000000.0,14.97,0.12560000000000002,768000000.0,,,26830000.0,,,25360000.0,,,0.034300000000000004,,,0.0349,,,5.52,971000000.0,1.26,7040000000.0,53.59,0.78,0.0269,21.38,GLW,Corning Inc.,Information Technology
130,DXC,0.0037,0.883,40.95,1.32,31.39,69.45,26.02,-0.4121,3680000.0,5130000.0,1.99,33.45,0.95,-4.56,1.57896e+18,3710000000.0,17790000000.0,4.8,0.88,1.5753312e+18,1.5539904e+18,254690000.0,0.84,0.0225,6.01,5810000000.0,1.5278112e+18,1000/1156,3000000000.0,9290000000.0,1.5698016e+18,-1220000000.0,2520000000.0,0.09910000000000001,3.68,,1.08,0.46,-0.0604,,-0.032,0.042800000000000005,-0.1169,20200000000.0,75.51,0.12560000000000002,256000000.0,,,15930000.0,,,12830000.0,,,0.06,,,0.0622,,,3.26,2880000000.0,11.25,10800000000.0,121.72,0.82,0.022000000000000002,,DXC,DXC Technology,Information Technology
131,EBAY,0.0529,0.8801000000000001,38.5,,36.21,42.0,26.01,0.17620000000000002,7850000.0,7120000.0,1.27,3.99,1.41,2.23,1.5768e+18,3110000000.0,34220000000.0,11.0,3.15,1.5749856e+18,1.5462144e+18,774370000.0,0.56,0.015600000000000001,11.99,8359999999.999999,1.4373504e+18,1000/2376,2420000000.0,28390000000.0,1.5698016e+18,2000000000.0,3540000000.0,0.22350000000000003,1.01,0.19,8.74,2.62,0.1833,-0.5700000000000001,0.0,0.0716,0.39159999999999995,10860000000.0,12.29,0.12560000000000002,813520000.0,,,22070000.0,,,22990000.0,,,0.026600000000000002,,,0.0271,,,2.89,3090000000.0,3.79,8410000000.0,257.25,0.42,0.0118,15.63,EBAY,eBay Inc.,Information Technology
132,EA,0.0051,0.9667,94.9,,97.07,108.8,73.91,0.2025,2290000.0,2880000.0,0.92,24.43,3.32,9.16,,1280000000.0,25860000000.0,20.27,5.09,,1.5539904e+18,290300000.0,,,20.57,3630000000.0,1.0691136e+18,1/2,1200000000.0,29310000000.0,1.5698016e+18,2750000000.0,1750000000.0,0.22340000000000002,2.61,0.0,4.11,5.77,0.5401,2.349,0.048,0.0746,0.44020000000000004,5080000000.0,17.03,0.12560000000000002,291980000.0,,,6650000.0,,,8119999.999999999,,,0.0227,,,0.022799999999999997,,,2.08,4880000000.0,16.72,1250000000.0,17.48,,,10.96,EA,Electronic Arts,Information Technology
133,FFIV,0.005,1.0544,139.58,,143.35,176.7,121.36,-0.16670000000000001,759080.0,579100.0,1.06,29.18,1.37,7.08,,594240000.0,7890000000.0,13.27,3.52,,1.5698016e+18,60600000.0,,,12.91,1890000000.0,1.1876544e+18,1/2,446500000.0,8780000000.0,1.5698016e+18,427730000.0,747840000.0,0.23440000000000003,3.02,0.0,4.95,3.92,0.1907,-0.28600000000000003,0.049,0.10960000000000002,0.2808,2240000000.0,37.35,0.12560000000000002,60790000.0,,,2060000.0,,,2130000.0,,,0.0384,,,0.0338,,,3.45,972280000.0,15.99,,,,,20.41,FFIV,F5 Networks,Information Technology
134,FB,0.0143,0.7477,188.11,,192.45,208.66,123.02,0.4292,11540000.0,13480000.0,1.06,32.94,4.66,6.26,,28450000000.0,531890000000.0,18.7,7.99,,1.5462144e+18,2380000000.0,,,21.75,46480000000.0,,,14290000000.0,569490000000.0,1.5698016e+18,18020000000.0,34850000000.0,0.34490000000000004,1.47,0.0,6.06,8.56,0.2708,0.18600000000000003,0.28600000000000003,0.1323,0.20670000000000002,66530000000.0,23.26,0.12560000000000002,2410000000.0,,,29330000.0,,,26190000.0,,,0.0123,,,0.0103,,,2.0,52270000000.0,18.33,9130000000.0,9.72,,,31.93,FB,"Facebook, Inc.",Information Technology
135,FIS,0.005600000000000001,0.9229,129.99,1.31,132.86,141.35,94.53,0.266,2390000.0,3110000.0,0.64,80.12,0.86,1.98,1.5774048e+18,2830000000.0,104370000000.0,36.88,11.4,1.5761088e+18,1.5462144e+18,611620000.0,1.4,0.0101,21.41,2850000000.0,,,1920000000.0,83430000000.0,1.5698016e+18,754000000.0,2450000000.0,0.1718,3.43,0.6683,1.69,9.11,0.08230000000000001,0.0,0.354,0.0183,0.0259,9160000000.0,24.6,0.12560000000000002,614600000.0,,,7790000.0,,,8199999.999999999,,,0.0242,,,0.012700000000000001,,,2.42,1300000000.0,2.12,20750000000.0,42.16,1.37,0.0099,68.42,FIS,Fidelity National Information Services,Information Technology
136,FISV,0.0031,0.9112,100.89,,108.91,117.04,68.45,0.459,3280000.0,3330000.0,0.78,47.99,1.08,2.08,,2540000000.0,102400000000.0,40.31,13.31,,1.5462144e+18,567050000.0,,,23.04,2750000000.0,1.521504e+18,1/2,570880000.0,77700000000.0,1.5698016e+18,932000000.0,2190000000.0,0.2215,1.45,0.0,2.38,10.1,0.1211,-0.128,1.215,0.024,0.0525,7690000000.0,17.43,0.12560000000000002,679890000.0,,,14110000.0,,,14000000.0,,,0.046200000000000005,,,0.020800000000000003,,,4.36,1030000000.0,1.51,23210000000.0,68.57,,,55.07,FISV,Fiserv Inc,Information Technology
137,FLIR,0.0069,0.9668000000000001,51.66,1.35,53.48,55.54,40.52,0.1561,537960.0,620970.0,1.14,13.94,2.38,1.95,1.5755904e+18,409970000.0,7680000000.0,18.72,4.16,1.57464e+18,1.5462144e+18,133070000.0,0.68,0.012700000000000001,20.71,903670000.0,1.1973312e+18,1/2,291490000.0,7060000000.0,1.5698016e+18,268430000.0,375140000.0,0.1716,1.07,0.3454,3.77,3.82,0.1454,-0.152,0.084,0.0654,0.1409,1850000000.0,13.61,0.12560000000000002,134150000.0,,,3000000.0,,,3010000.0,,,0.025099999999999997,,,0.022400000000000003,,,4.97,295390000.0,2.2,785410000.0,42.01,0.67,0.0125,27.03,FLIR,FLIR Systems,Information Technology
138,IT,0.031400000000000004,1.0065000000000002,149.64,,153.69,171.78,120.89,0.0435,394640.0,509220.0,1.23,10.28,0.68,2.73,,576000000.0,17149999999.999998,29.78,4.15,9.323424e+17,1.5462144e+18,86500000.0,,,39.21,2510000000.0,8.283168e+17,1/2,369570000.0,14100000000.0,1.5698016e+18,249610000.0,527750000.0,0.0917,5.17,0.0,15.34,3.41,0.0604,2.521,0.086,0.0373,0.2682,4130000000.0,45.87,0.12560000000000002,89450000.0,,,2840000.0,,,3100000.0,,,0.0366,,,0.0317,,,5.44,320830000.0,3.59,3120000000.0,339.14,,,57.63,IT,Gartner Inc,Information Technology
139,GPN,0.0070999999999999995,1.0197,162.98,0.05,170.07,182.13,94.81,0.6052000000000001,1290000.0,2130000.0,0.98,92.41,1.17,2.48,1.5774048e+18,1570000000.0,62610000000.0,39.89,16.45,1.5761088e+18,1.5462144e+18,298520000.0,0.78,0.0043,23.59,2270000000.0,1.4465088e+18,1/2,1600000000.0,53520000000.0,1.5698016e+18,403060000.0,1790000000.0,0.24670000000000003,1.51,0.0161,1.93,14.07,0.1059,-0.461,0.289,0.0199,0.0273,3800000000.0,23.42,0.12560000000000002,300550000.0,,,4850000.0,,,5510000.0,,,0.0392,,,0.0161,,,2.66,2130000000.0,7.08,10130000000.0,36.22,0.04,0.0002,71.77,GPN,Global Payments Inc.,Information Technology
140,HPE,,,14.83,,16.48,17.59,12.09,,11800000.0,9310000.0,1.57,,0.79,,1.5779232e+18,5450000000.0,30600000000.0,,,1.575936e+18,,,0.48,0.030299999999999997,8.0,9490000000.0,,1000/1289,1810000000.0,20390000000.0,,,4000000000.0,0.1,,0.5844,,0.7,0.036000000000000004,,-0.092,0.0339,0.0546,29130000000.0,21.53,,,,,,,,,,,,,,,,,,3750000000.0,2.9,13820000000.0,80.59,0.45,0.028399999999999998,20.47,HPE,Hewlett Packard Enterprise,Information Technology
141,HPQ,0.0023,0.8388,19.25,3.03,18.57,24.17,15.93,-0.1616,13730000.0,14350000.0,1.47,-0.81,0.8,2.07,1.5779232e+18,4930000000.0,30240000000.0,6.13,0.51,1.575936e+18,1.57248e+18,1470000000.0,0.7,0.0351,8.62,11170000000.0,1.4464224e+18,1000/2202,3280000000.0,29390000000.0,1.57248e+18,3150000000.0,4650000000.0,0.0713,2.86,0.30960000000000004,,0.5,0.0536,-0.733,0.003,0.07690000000000001,,58760000000.0,38.78,0.12560000000000002,1480000000.0,,,17080000.0,,,19380000.0,,,0.011200000000000002,,,0.0115,,,1.14,4540000000.0,3.07,5140000000.0,,0.64,0.0319,9.58,HPQ,HP Inc.,Information Technology
142,INTC,0.0005,0.688,50.23,2.69,56.21,59.59,42.86,0.158,16140000.0,18190000.0,0.93,17.07,1.2,4.27,1.5751584e+18,32100000000.0,269970000000.00003,8.41,3.83,1.5729984e+18,1.5460416e+18,4340000000.0,1.26,0.0217,12.32,43740000000.0,9.650016e+17,1/2,11470000000.0,250820000000.0,1.5696288e+18,19340000000.0,30160000000.0,0.3089,1.8,0.2916,3.38,3.56,0.2746,-0.064,0.001,0.1038,0.26539999999999997,70410000000.0,15.74,0.12560000000000002,4350000000.0,,,56870000.0,,,55550000.0,,,0.0126,,,0.0131,,,3.02,12020000000.0,2.76,29480000000.0,39.71,1.25,0.021400000000000002,13.5,INTC,Intel Corp.,Information Technology
143,IBM,0.0011,0.5750000000000001,138.33,3.8,135.69,152.95,105.94,0.0729,2960000.0,3460000.0,1.34,20.27,1.09,8.6,1.575936e+18,16660000000.0,179880000000.0,10.8,2.33,1.5730848e+18,1.5462144e+18,884430000.0,6.48,0.04820000000000001,9.99,36940000000.0,9.277632e+17,1/2,14990000000.0,117710000000.0,1.5698016e+18,7720000000.0,15440000000.0,0.1445,7.55,0.741,6.56,1.53,0.1,-0.379,-0.039,0.0513,0.4061,77130000000.0,86.59,0.12560000000000002,885640000.0,,,13860000.0,,,16050000.0,,,0.015600000000000001,,,0.015600000000000001,,,3.3,10830000000.0,12.23,71500000000.0,395.11,6.38,0.0475,15.45,IBM,International Business Machines,Information Technology
144,INTU,0.0405,0.9005,266.28,0.92,261.67,295.77,182.61,0.2125,2089999.9999999998,1300000.0,1.09,13.95,1.8,5.98,1.5795648e+18,2080000000.0,65910000000.0,31.72,9.51,1.578528e+18,1.5645312e+18,251090000.0,2.12,0.008199999999999999,30.04,5640000000.0,1.1522304e+18,1/2,1750000000.0,66780000000.0,1.57248e+18,1580000000.0,2340000000.0,0.27030000000000004,3.15,0.32439999999999997,18.39,9.63,0.2279,0.6759999999999999,0.147,0.2108,0.4926,6930000000.0,26.64,0.12560000000000002,260310000.0,,,2820000.0,,,2540000.0,,,,,,0.010700000000000001,,,2.25,2260000000.0,8.66,775000000.0,21.33,1.94,0.0075,42.9,INTU,Intuit Inc.,Information Technology
145,JNPR,0.013700000000000002,0.9378000000000001,25.25,1.84,25.08,29.32,22.42,-0.14529999999999998,3650000.0,3530000.0,1.0,13.61,2.24,1.05,1.5770592e+18,712300000.0,8029999999.999999,11.27,1.82,1.5749856e+18,1.5462144e+18,330990000.0,0.76,0.030299999999999997,13.39,2740000000.0,9.611136e+17,1/2,486150000.0,8289999999.999999,1.5698016e+18,368800000.0,645600000.0,0.1144,36.05,0.7143,1.82,1.88,0.0835,-0.556,-0.04,0.0354,0.07940000000000001,4420000000.0,12.79,0.12560000000000002,334710000.0,,,12120000.0,,,12800000.0,,,0.0458,,,0.0362,,,3.06,2250000000.0,6.73,1890000000.0,40.74,0.75,0.029900000000000003,23.53,JNPR,Juniper Networks,Information Technology
146,KLAC,0.0026000000000000003,0.9561000000000001,141.19,2.65,168.59,179.95,80.65,0.62,1660000.0,1530000.0,1.67,16.83,2.24,7.12,1.5753312e+18,1670000000.0,27650000000.0,16.56,5.66,1.573776e+18,1.5618528e+18,157410000.0,3.4,0.0207,14.51,2700000000.0,9.4824e+17,1/2,529789999.99999994,25410000000.0,1.5698016e+18,1130000000.0,1270000000.0,0.27690000000000003,1.23,0.4219,9.57,5.2,0.2304,-0.125,0.29300000000000004,0.11380000000000001,0.53,4890000000.0,31.16,0.12560000000000002,157790000.0,,,3500000.0,,,3400000.0,,,0.025,,,0.0222,,,2.64,1750000000.0,11.1,3530000000.0,131.68,3.0,0.0183,22.61,KLAC,KLA-Tencor Corp.,Information Technology
147,LRCX,0.0045000000000000005,0.9191,218.71,1.4,264.6,285.87,122.64,0.6570999999999999,1340000.0,1670000.0,1.68,34.07,3.6,13.58,1.5784416e+18,2700000000.0,37660000000.0,13.93,3.97,1.575936e+18,1.5618528e+18,144470000.0,4.6,0.0172,14.26,4360000000.0,9.532512e+17,1/3,1770000000.0,38150000000.0,1.5697152e+18,2120000000.0,2920000000.0,0.254,1.3,0.3282,7.72,4.02,0.2238,-0.127,-0.071,0.1293,0.414,9490000000.0,63.37,0.12560000000000002,145080000.0,,,5980000.0,,,5860000.0,,,0.0414,,,0.0412,,,3.36,5590000000.0,38.54,4540000000.0,92.0,4.45,0.0167,19.36,LRCX,Lam Research,Information Technology
148,MA,0.11170000000000001,0.78,271.76,0.6,277.47,293.69,171.89,0.3925,3270000.0,3500000.0,1.04,4.9,1.39,6.72,1.5731712e+18,9700000000.0,297290000000.0,30.64,18.26,1.5704928e+18,1.5462144e+18,991040000.0,1.32,0.0045000000000000005,31.65,14950000000.0,1.3903488e+18,1/10,5960000000.0,289010000000.0,1.5698016e+18,6920000000.0,6540000000.0,0.5703,2.25,0.1469,58.46,17.76,0.425,0.11,0.146,0.2353,1.2673,16280000000.000002,15.91,0.12560000000000002,997450000.0,,,8640000.0,,,6740000.0,,,0.0097,,,0.0086,,,2.45,5850000000.0,5.8,8220000000.000001,162.79,1.32,0.0045000000000000005,42.6,MA,Mastercard Inc.,Information Technology
149,MCHP,0.0219,1.1758,90.17,2.2,94.92,101.57,65.67,0.2158,1810000.0,2089999.9999999998,1.43,22.45,0.9,1.53,1.575504e+18,2029999999.9999998,32140000000.0,15.87,5.99,1.574208e+18,1.5539904e+18,233630000.0,1.47,0.015500000000000002,15.1,3300000000.0,1.0209024e+18,2/3,1710000000.0,22510000000.0,1.5698016e+18,383500000.0,1660000000.0,0.1749,3.25,0.9549,4.2,4.2,0.07150000000000001,0.131,-0.066,0.032100000000000004,0.0728,5370000000.0,22.59,0.12560000000000002,238980000.0,,,31900000.0,,,29950000.0,,,0.1827,,,0.1335,,,15.53,405100000.0,1.7,9950000000.0,185.68,1.46,0.015500000000000002,61.58,MCHP,Microchip Technology,Information Technology
150,MU,0.0027,0.8006000000000001,43.04,,46.84,51.39,28.39,0.1869,13130000.0,19610000.0,1.99,32.44,2.58,5.51,,12810000000.0,51480000000.0,4.02,2.2,8.314272e+17,1.5670368e+18,1100000000.0,,,8.79,10700000000.0,9.572256e+17,1/2,1350000000.0,51360000000.0,1.5670368e+18,6310000000.0,13190000000.0,0.31570000000000004,-0.65,0.0,1.43,2.19,0.2697,-0.87,-0.423,0.1001,0.1813,23410000000.0,21.01,0.12560000000000002,1100000000.0,,,36540000.0,,,33470000.0,,,0.0327,,,0.033,,,2.18,7950000000.0,7.19,5850000000.0,15.87,,,8.41,MU,Micron Technology,Information Technology
151,MSFT,0.0141,0.747,137.65,2.07,144.95,152.5,93.96,0.3505,18020000.0,22450000.0,1.23,13.89,2.85,5.3,1.5761088e+18,57420000000.0,1100000000000.0,19.22,8.5,1.574208e+18,1.5618528e+18,7520000000.0,2.04,0.013500000000000002,24.68,82930000000.0,1.0455264e+18,1/2,33810000000.000004,1140000000000.0,1.5698016e+18,41090000000.0,52350000000.0,0.35200000000000004,1.94,0.3472,10.76,8.79,0.3166,0.21,0.13699999999999998,0.10640000000000001,0.428,129810000000.0,16.94,0.12560000000000002,7700000000.0,,,62710000.0,,,57150000.0,,,0.0083,,,0.008199999999999999,,,2.73,136610000000.00002,17.91,85570000000.0,80.68,1.89,0.0125,28.22,MSFT,Microsoft Corp.,Information Technology
152,MSI,0.0043,0.8868,166.86,1.91,165.66,182.28,108.25,0.2505,1130000.0,1240000.0,0.58,-6.44,1.14,5.99,1.5790464e+18,2120000000.0,33890000000.0,16.02,4.36,1.5761088e+18,1.5462144e+18,170720000.0,2.56,0.015300000000000001,19.21,3540000000.0,1.2940992e+18,40425/10000,1140000000.0,28280000000.0,1.5696288e+18,1050000000.0,1840000000.0,0.2232,2.06,0.37939999999999996,,3.64,0.1348,0.081,0.071,0.11199999999999999,,7770000000.0,47.1,0.12560000000000002,171340000.0,,,3360000.0,,,3450000.0,,,0.026400000000000003,,,0.0196,,,2.63,1140000000.0,6.64,6350000000.0,,2.28,0.013600000000000001,27.57,MSI,Motorola Solutions Inc.,Information Technology
153,NTAP,0.0018,0.998,56.56,2.06,58.13,78.35,44.55,-0.1336,2370000.0,2490000.0,1.55,2.34,1.31,4.03,1.5796512e+18,1160000000.0,12630000000.0,10.84,2.19,1.5779232e+18,1.5562368e+18,227520000.0,1.92,0.0317,12.54,3940000000.0,9.537696e+17,1/2,785750000.0,13560000000.0,1.5719616e+18,991000000.0,1110000000.0,0.1748,1.79,0.4411,25.38,2.35,0.172,0.008,-0.096,0.0786,0.9593,5760000000.0,23.76,0.12560000000000002,228230000.0,,,15060000.0,,,15270000.0,,,0.0936,,,0.066,,,6.62,3000000000.0,13.13,1790000000.0,334.7,1.76,0.028999999999999998,14.73,NTAP,NetApp,Information Technology
154,NFLX,0.0174,0.7715000000000001,314.55,,291.57,385.99,231.23,0.0839,5130000.0,8260000.0,1.26,15.66,0.73,3.12,,2460000000.0,147000000000.0,59.75,7.79,,1.5462144e+18,431690000.0,,,56.36,5830000000.0,1.4369184e+18,1/7,15650000000.0,135850000000.0,1.5698016e+18,1410000000.0,-2660000000.0,0.1251,2.22,0.0,19.8,7.2,0.07490000000000001,0.6509999999999999,0.311,0.0543,0.2382,18880000000.0,43.17,0.12560000000000002,438250000.0,,,25390000.0,,,23250000.0,,,0.059500000000000004,,,0.0579,,,2.83,4440000000.0,10.12,13540000000.0,197.32,,,99.32,NFLX,Netflix Inc.,Information Technology
155,NVDA,0.0426,0.7276,173.82,0.71,205.18,221.41,124.46,0.2746,7370000.0,8480000.0,2.06,18.32,8.42,3.9,1.5768e+18,2500000000.0,125420000000.0,50.11,12.52,1.5748128e+18,1.5485472e+18,587260000.0,0.64,0.003,28.94,7170000000.0,1.1894688e+18,2/3,2820000000.0,128060000000.0,1.5721344e+18,2410000000.0,4190000000.0000005,0.2146,3.13,0.1637,11.42,12.78,0.2407,-0.269,-0.052000000000000005,0.09119999999999999,0.2331,10020000000.0,16.46,0.12560000000000002,612000000.0,,,8820000.0,,,9530000.0,,,0.0152,,,0.0144,,,1.02,9770000000.0,15.96,2550000000.0,22.72,0.64,0.003,53.59,NVDA,Nvidia Corporation,Information Technology
156,ORCL,0.33390000000000003,0.5860000000000001,54.97,1.47,55.65,60.5,42.4,0.1266,7730000.0,11770000.0,1.15,5.59,2.25,3.06,1.5718752e+18,16170000000.000002,206260000000.0,12.76,5.22,1.5705792e+18,1.5592608e+18,2140000000.0000002,0.96,0.0171,13.14,31510000000.0,9.713952e+17,1/2,9430000000.0,181950000000.0,1.5672096e+18,10950000000.0,13830000000.0,0.35600000000000004,1.45,0.2838,9.91,4.6,0.2771,-0.057,0.003,0.075,0.3805,39530000000.0,11.34,0.12560000000000002,3290000000.0,,,39280000.0,,,45160000.0,,,0.0184,,,0.012,,,4.77,35700000000.0,10.86,56780000000.0,298.52,0.86,0.015300000000000001,18.14,ORCL,Oracle Corp.,Information Technology
157,PAYX,0.1081,0.6988,84.09,3.04,84.38,88.43,61.32,0.21280000000000002,1430000.0,1440000.0,0.87,7.04,1.15,2.92,1.5742944e+18,1600000000.0,31180000000.0,19.44,7.99,1.57248e+18,1.5592608e+18,319110000.0,2.48,0.0288,25.36,2590000000.0,9.5904e+17,2/3,1180000000.0,30320000000.0,1.5672096e+18,1050000000.0,1290000000.0,0.3602,3.33,0.8081999999999999,12.03,7.77,0.2704,0.085,0.15,0.11199999999999999,0.4301,3900000000.0,10.87,0.12560000000000002,357900000.0,,,9760000.0,,,9650000.0,,,0.030600000000000002,,,0.0273,,,7.85,627300000.0,1.75,983800000.0,39.05,2.36,0.027400000000000004,29.01,PAYX,Paychex Inc.,Information Technology
